Sentence #1 (34 tokens):
I can't believe I am so angry after seeing this that I am about to write my first ever review on IMDb.This Disney documentary is nothing but a rehashed Planet Earth lite.
[Text=I CharacterOffsetBegin=4 CharacterOffsetEnd=5 PartOfSpeech=PRP] [Text=ca CharacterOffsetBegin=6 CharacterOffsetEnd=8 PartOfSpeech=MD] [Text=n't CharacterOffsetBegin=8 CharacterOffsetEnd=11 PartOfSpeech=RB] [Text=believe CharacterOffsetBegin=12 CharacterOffsetEnd=19 PartOfSpeech=VB] [Text=I CharacterOffsetBegin=20 CharacterOffsetEnd=21 PartOfSpeech=PRP] [Text=am CharacterOffsetBegin=22 CharacterOffsetEnd=24 PartOfSpeech=VBP] [Text=so CharacterOffsetBegin=25 CharacterOffsetEnd=27 PartOfSpeech=RB] [Text=angry CharacterOffsetBegin=28 CharacterOffsetEnd=33 PartOfSpeech=JJ] [Text=after CharacterOffsetBegin=34 CharacterOffsetEnd=39 PartOfSpeech=IN] [Text=seeing CharacterOffsetBegin=40 CharacterOffsetEnd=46 PartOfSpeech=VBG] [Text=this CharacterOffsetBegin=47 CharacterOffsetEnd=51 PartOfSpeech=DT] [Text=that CharacterOffsetBegin=52 CharacterOffsetEnd=56 PartOfSpeech=IN] [Text=I CharacterOffsetBegin=57 CharacterOffsetEnd=58 PartOfSpeech=PRP] [Text=am CharacterOffsetBegin=59 CharacterOffsetEnd=61 PartOfSpeech=VBP] [Text=about CharacterOffsetBegin=62 CharacterOffsetEnd=67 PartOfSpeech=IN] [Text=to CharacterOffsetBegin=68 CharacterOffsetEnd=70 PartOfSpeech=TO] [Text=write CharacterOffsetBegin=71 CharacterOffsetEnd=76 PartOfSpeech=VB] [Text=my CharacterOffsetBegin=77 CharacterOffsetEnd=79 PartOfSpeech=PRP$] [Text=first CharacterOffsetBegin=80 CharacterOffsetEnd=85 PartOfSpeech=JJ] [Text=ever CharacterOffsetBegin=86 CharacterOffsetEnd=90 PartOfSpeech=RB] [Text=review CharacterOffsetBegin=91 CharacterOffsetEnd=97 PartOfSpeech=VB] [Text=on CharacterOffsetBegin=98 CharacterOffsetEnd=100 PartOfSpeech=IN] [Text=IMDb.This CharacterOffsetBegin=101 CharacterOffsetEnd=110 PartOfSpeech=NNP] [Text=Disney CharacterOffsetBegin=111 CharacterOffsetEnd=117 PartOfSpeech=NNP] [Text=documentary CharacterOffsetBegin=118 CharacterOffsetEnd=129 PartOfSpeech=NN] [Text=is CharacterOffsetBegin=130 CharacterOffsetEnd=132 PartOfSpeech=VBZ] [Text=nothing CharacterOffsetBegin=133 CharacterOffsetEnd=140 PartOfSpeech=NN] [Text=but CharacterOffsetBegin=141 CharacterOffsetEnd=144 PartOfSpeech=CC] [Text=a CharacterOffsetBegin=145 CharacterOffsetEnd=146 PartOfSpeech=DT] [Text=rehashed CharacterOffsetBegin=147 CharacterOffsetEnd=155 PartOfSpeech=VBN] [Text=Planet CharacterOffsetBegin=156 CharacterOffsetEnd=162 PartOfSpeech=NN] [Text=Earth CharacterOffsetBegin=163 CharacterOffsetEnd=168 PartOfSpeech=NNP] [Text=lite CharacterOffsetBegin=169 CharacterOffsetEnd=173 PartOfSpeech=NN] [Text=. CharacterOffsetBegin=173 CharacterOffsetEnd=174 PartOfSpeech=.] 
root(ROOT-0, believe-4)
[Text=Now CharacterOffsetBegin=179 CharacterOffsetEnd=182 PartOfSpeech=RB] [Text=I CharacterOffsetBegin=183 CharacterOffsetEnd=184 PartOfSpeech=PRP] [Text=knew CharacterOffsetBegin=185 CharacterOffsetEnd=189 PartOfSpeech=VBD] [Text=going CharacterOffsetBegin=190 CharacterOffsetEnd=195 PartOfSpeech=VBG] [Text=into CharacterOffsetBegin=196 CharacterOffsetEnd=200 PartOfSpeech=IN] [Text=this CharacterOffsetBegin=201 CharacterOffsetEnd=205 PartOfSpeech=DT] [Text=that CharacterOffsetBegin=206 CharacterOffsetEnd=210 PartOfSpeech=IN] [Text=it CharacterOffsetBegin=211 CharacterOffsetEnd=213 PartOfSpeech=PRP] [Text=was CharacterOffsetBegin=214 CharacterOffsetEnd=217 PartOfSpeech=VBD] [Text=advertised CharacterOffsetBegin=218 CharacterOffsetEnd=228 PartOfSpeech=VBN] [Text=as CharacterOffsetBegin=229 CharacterOffsetEnd=231 PartOfSpeech=IN] [Text=`` CharacterOffsetBegin=232 CharacterOffsetEnd=233 PartOfSpeech=``] [Text=from CharacterOffsetBegin=233 CharacterOffsetEnd=237 PartOfSpeech=IN] [Text=the CharacterOffsetBegin=238 CharacterOffsetEnd=241 PartOfSpeech=DT] [Text=people CharacterOffsetBegin=242 CharacterOffsetEnd=248 PartOfSpeech=NNS] [Text=who CharacterOffsetBegin=249 CharacterOffsetEnd=252 PartOfSpeech=WP] [Text=brought CharacterOffsetBegin=253 CharacterOffsetEnd=260 PartOfSpeech=VBD] [Text=you CharacterOffsetBegin=261 CharacterOffsetEnd=264 PartOfSpeech=PRP] [Text=Planet CharacterOffsetBegin=265 CharacterOffsetEnd=271 PartOfSpeech=NN] [Text=Earth CharacterOffsetBegin=272 CharacterOffsetEnd=277 PartOfSpeech=NNP] [Text=, CharacterOffsetBegin=277 CharacterOffsetEnd=278 PartOfSpeech=,] [Text='' CharacterOffsetBegin=278 CharacterOffsetEnd=279 PartOfSpeech=''] [Text=but CharacterOffsetBegin=280 CharacterOffsetEnd=283 PartOfSpeech=CC] [Text=I CharacterOffsetBegin=284 CharacterOffsetEnd=285 PartOfSpeech=PRP] [Text=had CharacterOffsetBegin=286 CharacterOffsetEnd=289 PartOfSpeech=VBD] [Text=no CharacterOffsetBegin=290 CharacterOffsetEnd=292 PartOfSpeech=DT] [Text=idea CharacterOffsetBegin=293 CharacterOffsetEnd=297 PartOfSpeech=NN] [Text=they CharacterOffsetBegin=298 CharacterOffsetEnd=302 PartOfSpeech=PRP] [Text=were CharacterOffsetBegin=303 CharacterOffsetEnd=307 PartOfSpeech=VBD] [Text=going CharacterOffsetBegin=308 CharacterOffsetEnd=313 PartOfSpeech=VBG] [Text=to CharacterOffsetBegin=314 CharacterOffsetEnd=316 PartOfSpeech=TO] [Text=blatantly CharacterOffsetBegin=317 CharacterOffsetEnd=326 PartOfSpeech=RB] [Text=use CharacterOffsetBegin=327 CharacterOffsetEnd=330 PartOfSpeech=VB] [Text=the CharacterOffsetBegin=331 CharacterOffsetEnd=334 PartOfSpeech=DT] [Text=exact CharacterOffsetBegin=335 CharacterOffsetEnd=340 PartOfSpeech=JJ] [Text=same CharacterOffsetBegin=341 CharacterOffsetEnd=345 PartOfSpeech=JJ] [Text=cuts CharacterOffsetBegin=346 CharacterOffsetEnd=350 PartOfSpeech=NNS] [Text=as CharacterOffsetBegin=351 CharacterOffsetEnd=353 PartOfSpeech=IN] [Text=the CharacterOffsetBegin=354 CharacterOffsetEnd=357 PartOfSpeech=DT] [Text=groundbreaking CharacterOffsetBegin=358 CharacterOffsetEnd=372 PartOfSpeech=VBG] [Text=documentary CharacterOffsetBegin=373 CharacterOffsetEnd=384 PartOfSpeech=NN] [Text=mini-series CharacterOffsetBegin=385 CharacterOffsetEnd=396 PartOfSpeech=NNS] [Text=. CharacterOffsetBegin=396 CharacterOffsetEnd=397 PartOfSpeech=.] 
root(ROOT-0, knew-3)
advmod(knew-3, Now-1)
nsubj(knew-3, I-2)
xcomp(knew-3, going-4)
prep(going-4, into-5)
pobj(into-5, this-6)
mark(advertised-10, that-7)
nsubjpass(advertised-10, it-8)
auxpass(advertised-10, was-9)
ccomp(going-4, advertised-10)
prep(advertised-10, as-11)
punct(as-11, ``-12)
prep(as-11, from-13)
det(people-15, the-14)
pobj(from-13, people-15)
nsubj(brought-17, who-16)
rcmod(people-15, brought-17)
nsubj(Earth-20, you-18)
nn(Earth-20, Planet-19)
xcomp(brought-17, Earth-20)
punct(knew-3, ,-21)
punct(knew-3, ''-22)
cc(knew-3, but-23)
nsubj(had-25, I-24)
conj(knew-3, had-25)
det(idea-27, no-26)
dobj(had-25, idea-27)
nsubj(going-30, they-28)
aux(going-30, were-29)
rcmod(idea-27, going-30)
aux(use-33, to-31)
advmod(use-33, blatantly-32)
xcomp(going-30, use-33)
det(cuts-37, the-34)
amod(cuts-37, exact-35)
amod(cuts-37, same-36)
dobj(use-33, cuts-37)
prep(use-33, as-38)
det(mini-series-42, the-39)
nn(mini-series-42, groundbreaking-40)
nn(mini-series-42, documentary-41)
pobj(as-38, mini-series-42)
punct(knew-3, .-43)

Sentence #3 (14 tokens):
I just paid $8.75 to see something I already own on DVD.
[Text=I CharacterOffsetBegin=402 CharacterOffsetEnd=403 PartOfSpeech=PRP] [Text=just CharacterOffsetBegin=404 CharacterOffsetEnd=408 PartOfSpeech=RB] [Text=paid CharacterOffsetBegin=409 CharacterOffsetEnd=413 PartOfSpeech=VBD] [Text=$ CharacterOffsetBegin=414 CharacterOffsetEnd=415 PartOfSpeech=$] [Text=8.75 CharacterOffsetBegin=415 CharacterOffsetEnd=419 PartOfSpeech=CD] [Text=to CharacterOffsetBegin=420 CharacterOffsetEnd=422 PartOfSpeech=TO] [Text=see CharacterOffsetBegin=423 CharacterOffsetEnd=426 PartOfSpeech=VB] [Text=something CharacterOffsetBegin=427 CharacterOffsetEnd=436 PartOfSpeech=NN] [Text=I CharacterOffsetBegin=437 CharacterOffsetEnd=438 PartOfSpeech=PRP] [Text=already CharacterOffsetBegin=439 CharacterOffsetEnd=446 PartOfSpeech=RB] [Text=own CharacterOffsetBegin=447 CharacterOffsetEnd=450 PartOfSpeech=VB] [Text=on CharacterOffsetBegin=451 CharacterOffsetEnd=453 PartOfSpeech=IN] [Text=DVD CharacterOffsetBegin=454 CharacterOffsetEnd=457 PartOfSpeech=NN] [Text=. CharacterOffsetBegin=457 CharacterOffsetEnd=458 PartOfSpeech=.] 
root(ROOT-0, paid-3)
nsubj(paid-3, I-1)
advmod(paid-3, just-2)
dobj(paid-3, $-4)
num($-4, 8.75-5)
aux(see-7, to-6)
xcomp(paid-3, see-7)
dobj(see-7, something-8)
nsubj(own-11, I-9)
advmod(own-11, already-10)
rcmod(something-8, own-11)
prep(own-11, on-12)
pobj(on-12, DVD-13)
punct(paid-3, .-14)

Sentence #4 (37 tokens):
Shame on Disney for not warning people that there is absolutely nothing original here (save a James Earl Jones voice-over and 90 seconds of sailfish that I don't believe were in Planet Earth).
[Text=Shame CharacterOffsetBegin=463 CharacterOffsetEnd=468 PartOfSpeech=NN] [Text=on CharacterOffsetBegin=469 CharacterOffsetEnd=471 PartOfSpeech=IN] [Text=Disney CharacterOffsetBegin=472 CharacterOffsetEnd=478 PartOfSpeech=NNP] [Text=for CharacterOffsetBegin=479 CharacterOffsetEnd=482 PartOfSpeech=IN] [Text=not CharacterOffsetBegin=483 CharacterOffsetEnd=486 PartOfSpeech=RB] [Text=warning CharacterOffsetBegin=487 CharacterOffsetEnd=494 PartOfSpeech=VBG] [Text=people CharacterOffsetBegin=495 CharacterOffsetEnd=501 PartOfSpeech=NNS] [Text=that CharacterOffsetBegin=502 CharacterOffsetEnd=506 PartOfSpeech=IN] [Text=there CharacterOffsetBegin=507 CharacterOffsetEnd=512 PartOfSpeech=EX] [Text=is CharacterOffsetBegin=513 CharacterOffsetEnd=515 PartOfSpeech=VBZ] [Text=absolutely CharacterOffsetBegin=516 CharacterOffsetEnd=526 PartOfSpeech=RB] [Text=nothing CharacterOffsetBegin=527 CharacterOffsetEnd=534 PartOfSpeech=NN] [Text=original CharacterOffsetBegin=535 CharacterOffsetEnd=543 PartOfSpeech=JJ] [Text=here CharacterOffsetBegin=544 CharacterOffsetEnd=548 PartOfSpeech=RB] [Text=-LRB- CharacterOffsetBegin=549 CharacterOffsetEnd=550 PartOfSpeech=-LRB-] [Text=save CharacterOffsetBegin=550 CharacterOffsetEnd=554 PartOfSpeech=VB] [Text=a CharacterOffsetBegin=555 CharacterOffsetEnd=556 PartOfSpeech=DT] [Text=James CharacterOffsetBegin=557 CharacterOffsetEnd=562 PartOfSpeech=NNP] [Text=Earl CharacterOffsetBegin=563 CharacterOffsetEnd=567 PartOfSpeech=NNP] [Text=Jones CharacterOffsetBegin=568 CharacterOffsetEnd=573 PartOfSpeech=NNP] [Text=voice-over CharacterOffsetBegin=574 CharacterOffsetEnd=584 PartOfSpeech=NN] [Text=and CharacterOffsetBegin=585 CharacterOffsetEnd=588 PartOfSpeech=CC] [Text=90 CharacterOffsetBegin=589 CharacterOffsetEnd=591 PartOfSpeech=CD] [Text=seconds CharacterOffsetBegin=592 CharacterOffsetEnd=599 PartOfSpeech=NNS] [Text=of CharacterOffsetBegin=600 CharacterOffsetEnd=602 PartOfSpeech=IN] [Text=sailfish CharacterOffsetBegin=603 CharacterOffsetEnd=611 PartOfSpeech=NN] [Text=that CharacterOffsetBegin=612 CharacterOffsetEnd=616 PartOfSpeech=IN] [Text=I CharacterOffsetBegin=617 CharacterOffsetEnd=618 PartOfSpeech=PRP] [Text=do CharacterOffsetBegin=619 CharacterOffsetEnd=621 PartOfSpeech=VBP] [Text=n't CharacterOffsetBegin=621 CharacterOffsetEnd=624 PartOfSpeech=RB] [Text=believe CharacterOffsetBegin=625 CharacterOffsetEnd=632 PartOfSpeech=VB] [Text=were CharacterOffsetBegin=633 CharacterOffsetEnd=637 PartOfSpeech=VBD] [Text=in CharacterOffsetBegin=638 CharacterOffsetEnd=640 PartOfSpeech=IN] [Text=Planet CharacterOffsetBegin=641 CharacterOffsetEnd=647 PartOfSpeech=NN] [Text=Earth CharacterOffsetBegin=648 CharacterOffsetEnd=653 PartOfSpeech=NN] [Text=-RRB- CharacterOffsetBegin=653 CharacterOffsetEnd=654 PartOfSpeech=-RRB-] [Text=. CharacterOffsetBegin=654 CharacterOffsetEnd=655 PartOfSpeech=.] 
root(ROOT-0, Shame-1)
prep(Shame-1, on-2)
pobj(on-2, Disney-3)
prep(Shame-1, for-4)
neg(warning-6, not-5)
pcomp(for-4, warning-6)
dobj(warning-6, people-7)
mark(is-10, that-8)
expl(is-10, there-9)
ccomp(Shame-1, is-10)
advmod(nothing-12, absolutely-11)
nsubj(is-10, nothing-12)
amod(nothing-12, original-13)
advmod(save-16, here-14)
punct(save-16, -LRB--15)
ccomp(original-13, save-16)
det(voice-over-21, a-17)
nn(voice-over-21, James-18)
nn(voice-over-21, Earl-19)
nn(voice-over-21, Jones-20)
dobj(save-16, voice-over-21)
cc(save-16, and-22)
num(seconds-24, 90-23)
conj(save-16, seconds-24)
prep(seconds-24, of-25)
pobj(of-25, sailfish-26)
mark(believe-31, that-27)
nsubj(believe-31, I-28)
aux(believe-31, do-29)
neg(believe-31, n't-30)
dep(seconds-24, believe-31)
dep(believe-31, were-32)
prep(were-32, in-33)
amod(Earth-35, Planet-34)
pobj(in-33, Earth-35)
punct(were-32, -RRB--36)
punct(Shame-1, .-37)

Sentence #5 (47 tokens):
But the biggest crime of all, is that while Planet Earth uses the tragic story of the polar bear as evidence that we are killing this planet and a catalyst for ecologic change, Disney took that story and turned it into family friendly tripe.
[Text=But CharacterOffsetBegin=655 CharacterOffsetEnd=658 PartOfSpeech=CC] [Text=the CharacterOffsetBegin=659 CharacterOffsetEnd=662 PartOfSpeech=DT] [Text=biggest CharacterOffsetBegin=663 CharacterOffsetEnd=670 PartOfSpeech=JJS] [Text=crime CharacterOffsetBegin=671 CharacterOffsetEnd=676 PartOfSpeech=NN] [Text=of CharacterOffsetBegin=677 CharacterOffsetEnd=679 PartOfSpeech=IN] [Text=all CharacterOffsetBegin=680 CharacterOffsetEnd=683 PartOfSpeech=DT] [Text=, CharacterOffsetBegin=683 CharacterOffsetEnd=684 PartOfSpeech=,] [Text=is CharacterOffsetBegin=685 CharacterOffsetEnd=687 PartOfSpeech=VBZ] [Text=that CharacterOffsetBegin=688 CharacterOffsetEnd=692 PartOfSpeech=IN] [Text=while CharacterOffsetBegin=693 CharacterOffsetEnd=698 PartOfSpeech=IN] [Text=Planet CharacterOffsetBegin=699 CharacterOffsetEnd=705 PartOfSpeech=NN] [Text=Earth CharacterOffsetBegin=706 CharacterOffsetEnd=711 PartOfSpeech=NNP] [Text=uses CharacterOffsetBegin=712 CharacterOffsetEnd=716 PartOfSpeech=VBZ] [Text=the CharacterOffsetBegin=717 CharacterOffsetEnd=720 PartOfSpeech=DT] [Text=tragic CharacterOffsetBegin=721 CharacterOffsetEnd=727 PartOfSpeech=JJ] [Text=story CharacterOffsetBegin=728 CharacterOffsetEnd=733 PartOfSpeech=NN] [Text=of CharacterOffsetBegin=734 CharacterOffsetEnd=736 PartOfSpeech=IN] [Text=the CharacterOffsetBegin=737 CharacterOffsetEnd=740 PartOfSpeech=DT] [Text=polar CharacterOffsetBegin=741 CharacterOffsetEnd=746 PartOfSpeech=JJ] [Text=bear CharacterOffsetBegin=747 CharacterOffsetEnd=751 PartOfSpeech=NN] [Text=as CharacterOffsetBegin=752 CharacterOffsetEnd=754 PartOfSpeech=IN] [Text=evidence CharacterOffsetBegin=755 CharacterOffsetEnd=763 PartOfSpeech=NN] [Text=that CharacterOffsetBegin=764 CharacterOffsetEnd=768 PartOfSpeech=IN] [Text=we CharacterOffsetBegin=769 CharacterOffsetEnd=771 PartOfSpeech=PRP] [Text=are CharacterOffsetBegin=772 CharacterOffsetEnd=775 PartOfSpeech=VBP] [Text=killing CharacterOffsetBegin=776 CharacterOffsetEnd=783 PartOfSpeech=VBG] [Text=this CharacterOffsetBegin=784 CharacterOffsetEnd=788 PartOfSpeech=DT] [Text=planet CharacterOffsetBegin=789 CharacterOffsetEnd=795 PartOfSpeech=NN] [Text=and CharacterOffsetBegin=796 CharacterOffsetEnd=799 PartOfSpeech=CC] [Text=a CharacterOffsetBegin=800 CharacterOffsetEnd=801 PartOfSpeech=DT] [Text=catalyst CharacterOffsetBegin=802 CharacterOffsetEnd=810 PartOfSpeech=NN] [Text=for CharacterOffsetBegin=811 CharacterOffsetEnd=814 PartOfSpeech=IN] [Text=ecologic CharacterOffsetBegin=815 CharacterOffsetEnd=823 PartOfSpeech=JJ] [Text=change CharacterOffsetBegin=824 CharacterOffsetEnd=830 PartOfSpeech=NN] [Text=, CharacterOffsetBegin=830 CharacterOffsetEnd=831 PartOfSpeech=,] [Text=Disney CharacterOffsetBegin=832 CharacterOffsetEnd=838 PartOfSpeech=NNP] [Text=took CharacterOffsetBegin=839 CharacterOffsetEnd=843 PartOfSpeech=VBD] [Text=that CharacterOffsetBegin=844 CharacterOffsetEnd=848 PartOfSpeech=DT] [Text=story CharacterOffsetBegin=849 CharacterOffsetEnd=854 PartOfSpeech=NN] [Text=and CharacterOffsetBegin=855 CharacterOffsetEnd=858 PartOfSpeech=CC] [Text=turned CharacterOffsetBegin=859 CharacterOffsetEnd=865 PartOfSpeech=VBD] [Text=it CharacterOffsetBegin=866 CharacterOffsetEnd=868 PartOfSpeech=PRP] [Text=into CharacterOffsetBegin=869 CharacterOffsetEnd=873 PartOfSpeech=IN] [Text=family CharacterOffsetBegin=874 CharacterOffsetEnd=880 PartOfSpeech=NN] [Text=friendly CharacterOffsetBegin=881 CharacterOffsetEnd=889 PartOfSpeech=JJ] [Text=tripe CharacterOffsetBegin=890 CharacterOffsetEnd=895 PartOfSpeech=NN] [Text=. CharacterOffsetBegin=895 CharacterOffsetEnd=896 PartOfSpeech=.] 
root(ROOT-0, is-8)
cc(is-8, But-1)
det(crime-4, the-2)
amod(crime-4, biggest-3)
nsubj(is-8, crime-4)
prep(crime-4, of-5)
pobj(of-5, all-6)
punct(crime-4, ,-7)
mark(took-37, that-9)
mark(uses-13, while-10)
nn(Earth-12, Planet-11)
nsubj(uses-13, Earth-12)
advcl(took-37, uses-13)
det(story-16, the-14)
amod(story-16, tragic-15)
dobj(uses-13, story-16)
prep(story-16, of-17)
det(bear-20, the-18)
amod(bear-20, polar-19)
pobj(of-17, bear-20)
prep(uses-13, as-21)
pobj(as-21, evidence-22)
mark(killing-26, that-23)
nsubj(killing-26, we-24)
aux(killing-26, are-25)
ccomp(evidence-22, killing-26)
det(planet-28, this-27)
dobj(killing-26, planet-28)
cc(planet-28, and-29)
det(catalyst-31, a-30)
conj(planet-28, catalyst-31)
prep(catalyst-31, for-32)
amod(change-34, ecologic-33)
pobj(for-32, change-34)
punct(took-37, ,-35)
nsubj(took-37, Disney-36)
ccomp(is-8, took-37)
det(story-39, that-38)
dobj(took-37, story-39)
cc(took-37, and-40)
conj(took-37, turned-41)
dobj(turned-41, it-42)
prep(turned-41, into-43)
nn(tripe-46, family-44)
amod(tripe-46, friendly-45)
pobj(into-43, tripe-46)
punct(is-8, .-47)

Sentence #6 (45 tokens):
After the male polar bear's demise, they show his cubs grown significantly a year later, and spew some garbage about how they are ready to carry on his memory, and that the earth really is a beautiful place after all.
